Reference,Spec_Binom,Family,Class,Place,Lon,Lat,Place_Notes,Start,End,,Notes
"Monadjem, 1998",Chaerephon_pumilus,Molossidae,2,,32,-26.2,"Mlawula, Swaziland",12,3,,
"Smithers, 1971",Mops_midas,Molossidae,2,,22.9,-19.6,Okavango Swamps,1,3,,
"Mutere, 1973",Otomops_harrisoni,Molossidae,2,,37.75,-2.5,Chyulu Hills,12,12,,Previously included in Otomops martiensseni
"Mutere, 1973",Otomops_harrisoni,Molossidae,2,,36.28,-1.1,Mount Suswa,12,12,,Previously included in Otomops martiensseni
"Fenton et al., 1987",Nycteris_grandis,Nycteridae,3,,29.4,-15.9,"Mana Pools, Zimbabwe",11,12,,
"Verschuren, 1957",Nycteris_hispida,Nycteridae,3,,25.1,4.1,"Garamba National Park, DRC",4,4,,
"Verschuren, 1957",Nycteris_hispida,Nycteridae,3,,25.1,4.1,"Garamba National Park, DRC",9,9,,
"Verschuren, 1957",Nycteris_nana,Nycteridae,3,,25.1,4.1,"Garamba National Park, DRC",3,5,,
"Bernard, 1982",Nycteris_thebaica,Nycteridae,3,,30.19,-29.48,"KwaZulu-Natal, South Africa",11,11,,
"O'Shea &  Vaughan, 1980",Nycteris_thebaica,Nycteridae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"Wolton et al., 1982",Casinycteris_ophiodon,Pteropodidae,1,,-8.41,7.62,Mount Nimbia Liberia,11,12,,Previously in genus Scotonycteris
"Monadjem & Reside, 2012",Epomophorus_wahlbergi,Pteropodidae,1,,32,-26.2,"Mlawula, Swaziland",10,11,,Based on observations of juveniles entering the population
"Monadjem & Reside, 2012",Epomophorus_wahlbergi,Pteropodidae,1,,32,-26.2,"Mlawula, Swaziland",4,5,,Based on observations of juveniles entering the population
"Bradbury, 1977",Hypsignathus_Monstrosus ,Pteropodidae,1,,13,0.4,"Makokou, Gabon",12,2,,
"Bradbury, 1977",Hypsignathus_Monstrosus ,Pteropodidae,1,,13,0.4,"Makokou, Gabon",6,7,,
"Coe, 1975",Myonycteris_angolensis,Pteropodidae,1,,-8.41,7.62,Mount Nimbia Liberia,12,12,,Previous in genus Lissonycteris
"Wolton et al., 1982",Myonycteris_angolensis,Pteropodidae,1,,-8.41,7.62,Mount Nimbia Liberia,9,9,,Previous in genus Lissonycteris
"Smithers & Wilson, 1979",Rhinolophus_darlingi,Rhinolophidae,3,,30,-18,Zimbabwe,10,12,,There are no specific locations mentioned in Zimbabwe
"Happold & Happold, 1990",Rhinolophus_fumigatus,Rhinolophidae,3,,35.3,-15.3,"Zomba, Malawi",11,12,,
"Cotterill, 1998",Rhinolophus_mossambicus,Rhinolophidae,3,,29.42,-18.3,Central Zimbabwe,10,10,,Named Rhinolophus hildebrandtii
"Cotterill, 1998",Rhinolophus_simulator,Rhinolophidae,3,,29.42,-18.3,Central Zimbabwe,11,11,,
"O'Shea &  Vaughan, 1980",Rhinolophus_simulator,Rhinolophidae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"Happold & Happold, 2013",Eptesicus_hottentotus,Vespertilionidae,3,,32.2,-17.4,"Mutoko, Zimbabwe",11,12,,
"Brosset, 1966",Myotis_bocageii,Vespertilionidae,3,,13,0.4,"Makokou, Gabon",12,2,,
"Brosset, 1966",Myotis_bocageii,Vespertilionidae,3,,13,0.4,"Makokou, Gabon",6,6,,
"Van der Merwe, 1994",Neoromicia_capensis,Vespertilionidae,3,,28.3,-24.15,"Vaalwater, South Africa",10,11,,
"O'Shea &  Vaughan, 1980",Neoromicia_somalicus,Vespertilionidae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"Happold & Happold, 1990",Neoromicia_zuluensis,Vespertilionidae,3,,35.3,-14.8,"Liwonde National Park, Malawi",11,12,,
"Van der Merwe & Rautenbach, 1987",Nycticeinops_schlieffeni,Vespertilionidae,3,,31.2,-22.42,"Pafuri Region, Kruger National Park",11,12,,
"Happold & Happold, 1990",Nycticeinops_schlieffeni,Vespertilionidae,3,,35.3,-15.3,"Zomba, Malawi",11,12,,
"O'Shea &  Vaughan, 1980",Nycticeinops_schlieffeni,Vespertilionidae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"O'Shea &  Vaughan, 1980",Scotoecus_hirundo,Vespertilionidae,3,,38.12,-2.3,"Kibwezi, Kenya",11,11,,
"O'Shea &  Vaughan, 1980",Scotophilus_dinganii,Vespertilionidae,3,,38.12,-2.3,"Kibwezi, Kenya",11,12,,
"O'Shea &  Vaughan, 1980",Scotophilus_dinganii,Vespertilionidae,3,,38.12,-2.3,"Kibwezi, Kenya",3,4,,
"Barclay, 1985",Scotophilus_leucogaster,Vespertilionidae,3,,28.21,-18.16,"Sengwa Wildlife Research Area, Zimbabwe",11,12,,
